,Unnamed: 0.1,second,frame,brightness_mean,brightness_max,brightness_min,saturation_mean,texture,contrast,color_entropy,loudness,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,spectral_centroid,spectral_rolloff,zero_crossing_rate,Unnamed: 0,anger,joy,disgust,fear,sadness,sentiment,content,sentiment_count_product,bvid,cid,view,reply,favorite,coin,share,like,order_pubdate,duration,danmuku_amount
loudness,1.7238980357143584e-22,0.0,0.0,2.2457287947587948e-13,0.031139418411144364,0.0016662930006373334,4.1029678292242996e-112,9.750904697847526e-07,6.2426762158658794e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8166616174273113e-72,0.0,0.0,0.0,0.0,0.0,6.0626935292592335e-174,0.0,0.0,0.0,0.0,0.0,5.2990235124996225e-06,4.240903989285796e-156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006367933066600336,0.017758549964516264,0.0025100360779489006,5.11553467670581e-08,0.00621109969286566,3.533072947208006e-101,0.26652633394499653,4.785427634577633e-19,0.00043267609714965486,2.1340356270872818e-11,6.477884278818181e-54,0.9906070916290262,0.0,0.19266028152976947,0.0,0.0,2.8894219251738386e-11,0.0,0.0
chroma_0,0.22254419981104048,5.584099580205981e-153,7.331683861498426e-155,9.948666539575878e-06,0.4141792959264007,0.2621296442338165,2.2446433016690654e-51,0.3790735258977933,0.0735595682544133,0.021179967470538456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4029026768000196e-80,3.47541243025755e-229,0.0,0.0,0.0,0.0,0.0,0.0,1.0157728626514584e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.45146305118681e-182,0.0,1.244698886816527e-36,0.0,0.0,0.0,0.0,0.0,1.0040992231155913e-155,0.0,1.1353431550642098e-108,2.086551561149561e-05,0.0,4.7466109325929677e-153,0.9037235979543219,1.7343973767543979e-09,0.00020155901076318947,0.9185107418172618,0.00010291196640250844,3.893139482484262e-24,0.0007213406617588396,6.3442807915601536e-12,0.00032892625409952327,5.064079682838268e-08,0.5591921887460776,2.2404886221711165e-12,1.218237237617127e-08,2.865540420978566e-14,0.9869995551930872,1.3033554789150067e-11,2.1597675932285865e-08,2.0531697268049035e-210,1.644608551222049e-106
chroma_1,0.014375940434734205,7.674480812706757e-200,4.323566954817527e-199,0.00047383346269096,0.11190435376276538,0.4534612533249408,2.8922193144715965e-60,0.4289809900792264,0.5571178386758469,2.454306827333634e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.78342985529317e-270,0.0,0.0,0.0,0.0,0.0,0.0,8.21791048731636e-09,0.0,0.0,0.0,1.5964578148812774e-231,0.0,0.0,0.0,2.266003289455717e-103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.455302752031034e-72,0.0,2.594593417811938e-71,0.005951087315678567,0.0,8.127078132833018e-205,0.39235471343686557,6.882014774839699e-11,7.397512921938696e-05,0.44376933349782033,0.0004575350945239357,1.573740582506258e-20,0.037853114324300885,2.756755229049154e-07,7.209708333348632e-11,1.2336303858892703e-05,0.1997137039166312,3.820535931421662e-14,7.355960596766134e-09,1.6730231777609815e-24,0.9182392623217912,4.279894850827053e-11,8.743192411342372e-06,3.6478843757328767e-281,5.044802118933838e-154
chroma_2,0.006520882963166512,1.652425616737711e-185,8.440601499577413e-187,0.017121511309815315,0.0013844927250538691,0.02101052317494532,1.9571781365729442e-44,0.6907277091280128,0.00012187524858377879,1.2955410027930632e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3208822050026735e-18,0.0,2.0817310886312243e-297,0.0,9.72664566251107e-119,0.0,0.0,0.0,1.252025216668795e-63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2894868625329778e-45,0.0,1.885256600069112e-23,1.7423984016089813e-09,3.7189644183390425e-284,1.746548634814722e-191,0.38106731388422943,1.4099919751302365e-09,1.4687119854923466e-07,0.014912464375216254,0.000944309056755591,1.43343127719085e-17,0.8074237015329244,0.0017485012256930046,8.288912486749486e-14,0.0008311651668668869,0.9242147202814606,9.592245335693051e-14,0.008143179230075513,1.1738172363984376e-20,0.16719775953931795,1.004172378382305e-10,0.0008330521219870905,5.61391808633053e-265,9.501771820417566e-129
chroma_3,0.9975103134875416,2.4842566160190182e-189,6.593429478622214e-193,0.016825330332238743,0.00033209754831605624,0.01994433213380506,5.4472752337225385e-53,0.9847113976050722,1.228873048052569e-06,0.012919419746156499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0932533008270498e-43,0.0,1.0297062713104168e-231,0.0,1.0634220873097296e-59,0.0,0.0,0.0,4.32552625469231e-86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0236246125318842e-64,0.0,1.2611244469949727e-11,8.155877607008168e-09,3.2753569748982045e-277,3.7231838164659915e-190,0.0873291265634261,3.158359181760401e-07,5.293787023796956e-09,0.0036235500532526875,0.00828579561390302,4.268081538951934e-18,0.5711568143716466,0.020684748684584944,1.8204142602545457e-20,0.031234838868301053,0.38050729434715713,1.418535355882354e-07,2.9491769837538002e-05,1.0841707866905462e-18,0.07106006552761343,1.8787853446008283e-14,0.03658587835608216,1.1156708044302547e-268,5.232313264323327e-116
chroma_4,0.2618514904412926,1.2635621271192965e-158,1.0311267266840217e-166,0.00012912834500035768,2.694708021383316e-06,8.978345404465623e-05,1.810353478839073e-42,0.09382080336298267,9.007270890624081e-11,0.1290343501113279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.503990176023492e-182,0.0,0.0,0.0,1.5838345420322702e-17,0.0,4.0187527278107534e-189,0.0,1.0664841194528696e-55,0.0,0.0,0.0,2.4501133497333293e-274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6368253324323475e-229,0.0,0.0,4.866510670314015e-277,4.701695508415701e-30,3.519312714889913e-141,0.13495678829863972,2.614941511042227e-06,7.835706052973141e-08,0.00012427392226564606,0.4801267834790116,1.0109666307563979e-09,0.48304104094547695,0.027046312078642335,5.693142765098749e-19,0.7955811493797282,4.776728413033368e-06,1.2831559858667312e-07,0.004539049614593262,0.0003160828576202075,0.9601213523781227,1.1219009004055829e-35,0.912723152527321,2.5135040067882052e-200,5.772386930935056e-50
chroma_5,0.008759377110806611,2.5740758456704484e-161,2.9288213662735e-173,8.005388913763017e-11,5.041269803669443e-14,8.044885980175425e-07,2.5389750959235916e-39,0.8676314592695995,2.0944074024671923e-09,0.07310679580019391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5499493345695613e-206,6.439866478256011e-59,0.0,0.0,0.021325008912693018,0.0,5.181211289057598e-150,0.0,3.0338215571124885e-53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.895398366219312e-134,0.7354098462339719,0.0019775331949722546,0.00926420516092717,3.0821978654035557e-07,0.035520116983885006,2.0249257138981747e-07,0.065801499424674,0.44881923450203143,8.419539854707926e-14,0.0020137400863660033,0.010171908292895928,1.4061358517895268e-18,0.2807299183305243,5.141115911194431e-06,0.0008332054421264415,1.797990404070529e-33,0.004843537458533186,8.627065441272852e-217,4.4164825788165485e-44
chroma_6,0.01607002895918265,7.523204170087466e-180,4.774405790614485e-164,0.07023019590398864,1.2928610090287285e-34,1.0754529098378143e-22,9.568540171279779e-28,0.8154211504023302,1.541070081645337e-17,1.1249271806234293e-77,0.0,1.4029026768000196e-80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7377683126586827e-139,0.0,0.0,0.02609554383204672,0.0,2.815046555641574e-137,0.0,1.0531452186560048e-68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.764667828625896e-242,1.1632629404086688e-167,0.001075675015803646,0.047583142845048075,4.341844261438304e-08,0.04566359039393692,0.037903175506507195,0.9905777007377419,0.9661501849415475,0.7674508754266542,3.151086854420631e-05,1.6343130848924276e-13,0.4040802563709034,6.246612981243449e-07,1.0140440984363558e-70,9.180838262967833e-190,7.513377434005913e-46,0.0003185916802447805,6.397026089219548e-13,1.0270494020451741e-195,3.436193271502267e-121
chroma_7,0.8689671952563913,9.705742358666998e-131,1.0325286674483578e-125,0.04800966508549223,0.05959857881807144,0.06560766536687032,4.4479478772277664e-44,0.48088481505257363,0.16075246970988738,1.3616377208500937e-15,0.0,3.47541243025755e-229,9.78342985529317e-270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1922501369689124e-107,0.0,6.338821394317422e-91,0.0,1.848715141848306e-123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6912329259288937e-209,0.0,5.5172240669552845e-260,0.0,0.0,0.0,1.1356648274554879e-07,2.7152159598177093e-118,5.234574736183871e-254,8.193672763190924e-122,0.6553685755324029,0.015888112028972116,2.5595070790586487e-06,0.8767130597456251,0.023433920343694084,3.3352265930675775e-13,0.8929296916145065,0.013709304862631866,1.6651829111747e-08,0.6025092153096028,2.759409572999764e-05,6.412581988944327e-08,0.09456204654646048,5.058415520633771e-35,0.013724213334994557,7.529392686606741e-07,0.6589089324794621,3.217974179327597e-137,6.671810215463365e-78
chroma_8,0.6880913499079644,4.467400355048961e-146,3.7638544380230823e-144,0.00019091619458486982,0.005311561870937463,0.21256107278073053,3.883550403385326e-61,0.31706507658022187,0.7176204827385151,5.494947070433958e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.763509986882275e-186,0.0,1.9269921462357723e-112,0.0,1.0252267367999311e-304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.824624839423785e-33,0.0,2.905470239763031e-209,0.0,0.0,0.0,2.4625969562200203e-220,2.9117383941002712e-21,0.0,4.9735563169384224e-142,0.6198998051512795,9.608818566132449e-06,2.078695165993318e-07,0.7579217139719459,0.008917029136331378,7.311808295750315e-28,0.6611658030042926,0.0011413509469691719,1.4996295125461544e-10,0.0007910305425174976,4.625266092818132e-12,9.943686428978266e-15,0.0020922978091365437,5.281603722821544e-26,0.5437265094843005,6.7576161517276065e-06,0.000641239530693516,2.7034858645744107e-168,4.1667479290451764e-102
